,Have,Give,See,Take,Do,Call,Get,Put,Keep,Need,Love,Try,Thing,Amazing,Setting,Lose,Use,Send,Rating,Let,Remove,Unwanted,Annoying,Look,Work,Go,Texting,Working,Open,Ring,Loading,Update,Unlimited,Read,Play,Calling,Sharing,Add,King,Want,Saving,Complicated,Sound,Login,Warning,Save,Messaging,Make,Outstanding,Something
Support,4,1,1,1,5,3,3,0,1,5,0,3,0,0,0,0,3,1,0,2,3,0,0,0,1,5,0,0,2,0,0,0,0,0,1,0,0,9,0,0,0,0,0,1,0,0,1,1,0,0
Code,3,2,0,0,4,3,19,3,0,4,0,5,0,0,0,0,10,19,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,4,0,0,0,1,0,0
Application,2,0,0,0,3,0,1,0,0,1,5,0,0,3,0,1,13,0,0,0,0,0,0,1,0,23,0,0,4,0,0,1,0,0,0,0,0,1,0,2,0,0,1,0,0,0,1,0,0,0
Delete,3,1,2,0,0,4,1,0,0,1,0,0,0,0,0,0,3,0,0,145,1,1,0,0,0,4,0,0,0,0,0,1,0,1,0,0,0,5,0,2,0,0,0,0,0,3,0,0,0,0
Issue,32,1,1,1,4,3,3,0,0,0,1,0,0,0,0,1,8,1,1,0,0,0,1,0,8,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0
Whatsapp,2,0,1,0,6,4,2,0,0,5,4,0,0,0,0,1,9,0,0,2,3,0,0,0,1,12,0,0,2,0,0,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0
Block,9,0,0,0,4,3,2,0,0,3,7,0,1,1,0,1,5,5,0,3,2,5,5,0,3,10,0,0,0,0,0,0,0,2,2,0,0,11,10,6,0,0,0,0,0,0,0,0,0,0
Thank,0,0,1,0,1,0,2,0,0,2,4,0,0,2,0,0,5,0,0,4,0,0,0,0,2,24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Line,12,0,2,0,15,6,2,0,2,6,4,0,0,0,1,1,10,0,0,1,1,0,0,1,1,6,0,0,5,1,0,5,0,1,4,0,0,3,0,1,0,0,0,1,0,2,0,1,0,0
Verification,2,1,1,0,5,3,12,0,0,6,0,0,3,0,0,0,3,14,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,0,1,0,1,0,0,0,0,0,0
